artiste,track,genre,date.entered,date.peaked,x1st.week,x2nd.week,x3rd.week,x4th.week,x5th.week,x6th.week,x7th.week,x8th.week,x9th.week,x10th.week,x11th.week,x12th.week,x13th.week,x14th.week,x15th.week,x16th.week,x17th.week,x18th.week,x19th.week,x20th.week,x21st.week,x22nd.week,x23rd.week,x24th.week,x25th.week,x26th.week,x27th.week,x28th.week,x29th.week,x30th.week,x31st.week,x32nd.week,x33rd.week,x34th.week,x35th.week,x36th.week,x37th.week,x38th.week,x39th.week,x40th.week,x41st.week,x42nd.week,x43rd.week,x44th.week,x45th.week,x46th.week,x47th.week,x48th.week,x49th.week,x50th.week,x51st.week,x52nd.week,x53rd.week,x54th.week,x55th.week,x56th.week,x57th.week,x58th.week,x59th.week,x60th.week,x61st.week,x62nd.week,x63rd.week,x64th.week,x65th.week,x66th.week,x67th.week,x68th.week,x69th.week,x70th.week,x71st.week,x72nd.week,x73rd.week,x74th.week,x75th.week,x76th.week
Jagged Edge,He Can't Love U,Rock,1999-12-11,2000-01-08,54,32.0,17.0,17.0,15.0,18.0,18.0,18.0,18.0,25.0,24.0,24.0,26.0,33.0,44.0,51.0,53.0,65.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504 Boyz,Wobble Wobble,Rap,2000-04-15,2000-05-06,57,34.0,25.0,17.0,17.0,31.0,36.0,49.0,53.0,57.0,64.0,70.0,75.0,76.0,78.0,85.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sting,Desert Rose,Rock,2000-05-13,2000-08-26,98,88.0,72.0,59.0,55.0,52.0,45.0,35.0,24.0,21.0,19.0,19.0,19.0,19.0,18.0,17.0,19.0,19.0,24.0,26.0,30.0,32.0,42.0,45.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Big Pimpin',Rap,2000-04-22,2000-07-08,69,52.0,39.0,33.0,28.0,25.0,25.0,23.0,20.0,19.0,21.0,18.0,20.0,20.0,26.0,29.0,35.0,33.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kid Rock,Only God Knows Why,Rock,2000-02-19,2000-04-15,63,47.0,46.0,39.0,35.0,26.0,26.0,23.0,19.0,19.0,21.0,25.0,25.0,29.0,32.0,44.0,52.0,62.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foo Fighters,Learn To Fly,Rock,1999-10-16,2000-01-22,80,69.0,68.0,63.0,60.0,52.0,42.0,32.0,30.0,25.0,22.0,22.0,26.0,20.0,19.0,20.0,26.0,30.0,35.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Goodbye Earl,Country,2000-03-18,2000-05-06,40,29.0,24.0,24.0,20.0,20.0,20.0,19.0,38.0,61.0,86.0,88.0,96.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy,Dancin',R&B,1999-12-18,2000-01-01,46,29.0,19.0,22.0,36.0,44.0,58.0,58.0,68.0,75.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Bow Wow,Bounce With Me,Rap,2000-08-19,2000-09-16,48,35.0,24.0,24.0,20.0,20.0,20.0,20.0,22.0,27.0,27.0,36.0,40.0,53.0,61.0,69.0,80.0,90.0,99.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westlife,Swear It Again,Rock,2000-04-01,2000-07-01,96,82.0,66.0,55.0,55.0,46.0,44.0,44.0,37.0,35.0,32.0,25.0,21.0,20.0,20.0,25.0,30.0,33.0,45.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,Meet Virginia,Rock,1999-10-09,2000-01-22,76,67.0,59.0,54.0,48.0,45.0,40.0,32.0,26.0,24.0,22.0,21.0,21.0,24.0,21.0,20.0,21.0,24.0,28.0,30.0,32.0,37.0,37.0,42.0,46.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",I Wish,Rock,2000-03-25,2000-05-13,75,64.0,48.0,39.0,32.0,28.0,24.0,20.0,22.0,21.0,22.0,26.0,23.0,24.0,27.0,28.0,42.0,44.0,52.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanson,This Time Around,Country,2000-04-22,2000-05-06,22,22.0,20.0,45.0,87.0,71.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Jessica",I Think I'm In Love With You,Pop,2000-07-01,2000-08-12,63,52.0,44.0,29.0,25.0,23.0,21.0,21.0,21.0,27.0,38.0,38.0,57.0,74.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludacris,What's Your Fantasy,Rap,2000-09-30,2000-12-16,89,83.0,63.0,55.0,49.0,40.0,33.0,32.0,30.0,25.0,22.0,21.0,24.0,24.0,24.0,27.0,25.0,34.0,32.0,35.0,41.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Zane,Callin' Me,Rap,2000-07-29,2000-09-02,83,89.0,57.0,40.0,34.0,21.0,33.0,46.0,45.0,59.0,67.0,84.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2M,Don't Say You Love Me,Pop,1999-11-20,2000-01-08,72,53.0,62.0,46.0,54.0,44.0,44.0,21.0,64.0,92.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoulDecision,Faded,Rock,2000-07-08,2000-09-09,94,90.0,81.0,64.0,56.0,43.0,35.0,27.0,25.0,22.0,22.0,27.0,27.0,27.0,31.0,31.0,30.0,34.0,31.0,34.0,34.0,38.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock, Chad",Yes!,Country,2000-04-08,2000-07-01,90,77.0,66.0,61.0,59.0,47.0,39.0,33.0,32.0,31.0,28.0,27.0,22.0,27.0,31.0,39.0,45.0,50.0,53.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",Shake Your Bon-Bon,Latin,1999-11-20,2000-02-12,74,66.0,52.0,39.0,39.0,39.0,39.0,46.0,47.0,54.0,91.0,28.0,22.0,33.0,46.0,70.0,87.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Horizon,You're A God,Rock,2000-08-26,2000-11-04,64,55.0,43.0,41.0,37.0,31.0,30.0,29.0,28.0,26.0,23.0,23.0,25.0,32.0,32.0,37.0,37.0,41.0,46.0,48.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant,Separated,Rock,2000-04-29,2000-05-20,62,32.0,30.0,23.0,26.0,30.0,35.0,32.0,32.0,25.0,23.0,28.0,27.0,29.0,27.0,31.0,31.0,33.0,40.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",Big Deal,Country,1999-10-16,2000-01-01,71,52.0,51.0,51.0,51.0,48.0,41.0,37.0,29.0,26.0,26.0,23.0,30.0,28.0,27.0,25.0,31.0,43.0,56.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMx,Stay The Night,Rap,1999-10-09,2000-01-08,84,61.0,45.0,43.0,40.0,38.0,36.0,31.0,34.0,34.0,40.0,36.0,36.0,23.0,41.0,62.0,70.0,71.0,79.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,The Next Episode,Rap,2000-05-27,2000-07-29,78,67.0,58.0,53.0,46.0,41.0,32.0,27.0,26.0,23.0,26.0,27.0,32.0,32.0,44.0,46.0,47.0,50.0,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",Lucky,Rock,2000-08-12,2000-09-09,61,41.0,28.0,26.0,23.0,29.0,30.0,40.0,66.0,86.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Garden,Crash And Burn,Rock,2000-04-08,2000-05-27,75,58.0,51.0,36.0,33.0,31.0,26.0,24.0,24.0,29.0,34.0,39.0,46.0,47.0,48.0,49.0,58.0,63.0,73.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandi,Don't Think I'm Not,Rock,2000-08-05,2000-10-07,66,66.0,66.0,61.0,49.0,42.0,36.0,33.0,28.0,24.0,26.0,26.0,28.0,29.0,27.0,31.0,31.0,26.0,25.0,25.0,30.0,40.0,36.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammie,I Like It,Rock,2000-01-29,2000-04-15,85,68.0,58.0,44.0,40.0,33.0,30.0,29.0,37.0,29.0,29.0,24.0,36.0,46.0,52.0,61.0,83.0,93.0,91.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goo Goo Dolls,Broadway,Rock,2000-04-22,2000-07-01,74,58.0,53.0,42.0,35.0,31.0,29.0,25.0,29.0,26.0,24.0,33.0,46.0,48.0,57.0,62.0,74.0,82.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Mandy",I Wanna Be With You,Pop,2000-06-17,2000-08-12,69,63.0,54.0,50.0,45.0,42.0,31.0,28.0,24.0,34.0,42.0,53.0,65.0,66.0,77.0,94.0,99.0,,,,,93.0,91.0,91.0,90.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,Forgot About Dre,Rap,2000-01-22,2000-03-25,75,55.0,47.0,36.0,36.0,30.0,30.0,31.0,26.0,25.0,25.0,26.0,26.0,28.0,34.0,47.0,58.0,68.0,80.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo,Untitled (How Does It Feel),R&B,2000-01-22,2000-02-19,77,56.0,35.0,26.0,25.0,25.0,28.0,28.0,31.0,35.0,39.0,44.0,51.0,60.0,73.0,79.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Messina, Jo Dee",That's The Way,Country,2000-06-24,2000-08-26,78,67.0,63.0,54.0,50.0,44.0,38.0,30.0,27.0,25.0,31.0,28.0,30.0,28.0,32.0,35.0,48.0,46.0,51.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant,My First Love,Rock,2000-11-04,2000-12-16,70,62.0,56.0,43.0,39.0,33.0,26.0,26.0,26.0,31.0,32.0,31.0,38.0,38.0,52.0,57.0,64.0,73.0,81.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son By Four,A Puro Dolor (Purest Of Pain),Latin,2000-04-08,2000-08-19,80,80.0,80.0,79.0,72.0,73.0,65.0,64.0,60.0,60.0,48.0,48.0,48.0,43.0,35.0,32.0,30.0,32.0,37.0,26.0,31.0,28.0,30.0,32.0,39.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Brat,What'Chu Like,Rap,2000-06-03,2000-08-12,71,65.0,54.0,54.0,51.0,41.0,41.0,33.0,28.0,31.0,26.0,28.0,36.0,39.0,49.0,58.0,62.0,65.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,Party Up (Up In Here),Rap,2000-02-26,2000-04-22,88,74.0,62.0,56.0,49.0,44.0,38.0,32.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,33.0,35.0,42.0,44.0,46.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Cowboy Take Me Away,Country,1999-11-27,2000-01-29,79,72.0,70.0,61.0,52.0,52.0,52.0,39.0,31.0,27.0,27.0,27.0,31.0,37.0,40.0,47.0,51.0,56.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",My Next Thirty Years,Country,2000-10-21,2000-12-16,73,62.0,56.0,52.0,46.0,40.0,36.0,31.0,27.0,27.0,28.0,40.0,33.0,33.0,39.0,40.0,48.0,53.0,58.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tritt, Travis",Best Of Intentions,Country,2000-08-19,2000-12-02,97,86.0,79.0,70.0,63.0,56.0,50.0,48.0,51.0,38.0,33.0,31.0,28.0,28.0,28.0,27.0,29.0,31.0,37.0,45.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Deejay,Better Off Alone,Electronica,2000-04-08,2000-06-03,79,65.0,53.0,48.0,45.0,36.0,34.0,29.0,27.0,30.0,36.0,37.0,39.0,49.0,57.0,63.0,65.0,68.0,79.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoku,Another Dumb Blonde,Pop,2000-02-19,2000-04-08,69,49.0,49.0,34.0,34.0,34.0,30.0,27.0,36.0,41.0,53.0,56.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",I Learned From The Best,Rock,2000-02-19,2000-03-25,83,83.0,83.0,40.0,28.0,27.0,28.0,36.0,53.0,73.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting Crows,Hanginaround,Rock,1999-11-06,2000-01-29,84,70.0,66.0,60.0,46.0,37.0,35.0,35.0,35.0,32.0,29.0,29.0,28.0,32.0,38.0,48.0,56.0,59.0,61.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Mary,Shackles (Praise You),Rock,2000-03-25,2000-05-13,90,76.0,72.0,54.0,43.0,37.0,34.0,28.0,33.0,30.0,31.0,39.0,43.0,53.0,60.0,70.0,71.0,76.0,84.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mariah",Crybaby,Rock,2000-06-24,2000-06-24,28,34.0,48.0,62.0,77.0,90.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",My Best Friend,Country,1999-11-27,2000-01-29,85,76.0,71.0,64.0,54.0,54.0,55.0,46.0,38.0,29.0,29.0,33.0,32.0,31.0,36.0,38.0,39.0,41.0,46.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Ray,Falls Apart,Rock,2000-01-15,2000-02-19,70,64.0,54.0,40.0,34.0,29.0,29.0,32.0,32.0,37.0,47.0,49.0,52.0,60.0,76.0,80.0,89.0,97.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madonna,American Pie,Rock,2000-02-19,2000-03-04,43,35.0,29.0,29.0,33.0,32.0,40.0,58.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Donell",Where I Wanna Be,Rock,2000-04-22,2000-07-08,81,71.0,65.0,50.0,41.0,41.0,36.0,41.0,38.0,35.0,33.0,29.0,36.0,34.0,34.0,40.0,42.0,49.0,55.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paisley, Brad",We Danced,Country,2000-10-14,2000-12-16,71,68.0,52.0,52.0,45.0,42.0,39.0,34.0,34.0,29.0,36.0,42.0,55.0,53.0,57.0,64.0,72.0,84.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,What About Now,Country,2000-06-10,2000-08-19,78,72.0,66.0,64.0,56.0,50.0,47.0,39.0,37.0,34.0,30.0,30.0,35.0,36.0,37.0,43.0,54.0,60.0,61.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",The One,Rock,2000-05-27,2000-07-01,58,50.0,43.0,37.0,31.0,30.0,39.0,47.0,55.0,61.0,76.0,90.0,93.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith, Toby",How Do You Like Me Now?!,Country,2000-01-29,2000-04-08,77,72.0,59.0,53.0,45.0,43.0,41.0,36.0,36.0,32.0,31.0,31.0,35.0,35.0,38.0,43.0,45.0,51.0,52.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strait, George",The Best Day,Country,2000-01-29,2000-04-22,73,64.0,54.0,45.0,44.0,44.0,44.0,41.0,39.0,34.0,33.0,33.0,31.0,33.0,36.0,39.0,43.0,49.0,53.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Without You,Country,2000-10-07,2000-12-23,80,70.0,63.0,56.0,50.0,49.0,48.0,46.0,41.0,40.0,35.0,31.0,33.0,44.0,36.0,35.0,37.0,43.0,51.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musiq,Just Friends (Sunny),Rap,2000-10-14,2000-12-30,89,83.0,65.0,55.0,54.0,54.0,52.0,44.0,41.0,34.0,32.0,31.0,35.0,34.0,41.0,41.0,48.0,54.0,58.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEntire, Reba",What Do You Say,Country,1999-10-30,2000-01-29,88,76.0,71.0,71.0,69.0,63.0,56.0,51.0,46.0,46.0,53.0,43.0,33.0,31.0,34.0,41.0,50.0,60.0,68.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braxton, Toni",Just Be A Man About It,Rock,2000-07-29,2000-09-02,76,69.0,51.0,42.0,37.0,32.0,32.0,34.0,34.0,38.0,50.0,53.0,53.0,63.0,65.0,72.0,79.0,84.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Rhythm Divine,Latin,1999-12-04,2000-01-22,90,84.0,79.0,67.0,67.0,39.0,33.0,32.0,38.0,38.0,49.0,51.0,61.0,61.0,66.0,88.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabian, Lara",I Will Love Again,Pop,2000-06-10,2000-08-12,91,80.0,75.0,61.0,60.0,52.0,45.0,40.0,36.0,32.0,37.0,45.0,68.0,80.0,80.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon Jovi,It's My Life,Rock,2000-08-12,2000-09-30,64,58.0,51.0,51.0,48.0,45.0,36.0,33.0,34.0,34.0,35.0,34.0,39.0,44.0,51.0,58.0,61.0,84.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans, Sara",Born To Fly,Country,2000-10-21,2000-12-30,77,71.0,64.0,57.0,55.0,51.0,46.0,44.0,36.0,39.0,34.0,46.0,44.0,36.0,42.0,53.0,58.0,74.0,81.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesney, Kenny",I Lost It,Country,2000-10-21,2000-12-23,75,67.0,61.0,58.0,58.0,53.0,47.0,47.0,40.0,34.0,36.0,45.0,42.0,45.0,60.0,70.0,82.0,88.0,89.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-Shin,One Night Stand,R&B,1999-12-25,2000-02-26,96,96.0,69.0,74.0,72.0,62.0,49.0,45.0,38.0,34.0,38.0,45.0,47.0,58.0,68.0,88.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve,Love Is Blind,Rap,2000-01-08,2000-02-19,94,91.0,57.0,46.0,46.0,40.0,34.0,39.0,42.0,46.0,50.0,59.0,66.0,78.0,87.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaliyah,I Don't Wanna,Rock,2000-01-29,2000-03-04,84,62.0,51.0,41.0,38.0,35.0,35.0,38.0,38.0,36.0,37.0,37.0,38.0,49.0,61.0,63.0,62.0,67.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, John Michael",The Little Girl,Country,2000-09-09,2000-10-28,81,67.0,64.0,56.0,45.0,41.0,41.0,35.0,35.0,38.0,37.0,42.0,45.0,50.0,57.0,63.0,62.0,83.0,74.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carter, Aaron",Aaron's Party (Come Get It),R&B,2000-08-26,2000-09-16,99,75.0,57.0,35.0,35.0,37.0,43.0,79.0,51.0,55.0,67.0,83.0,86.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vassar, Phil",Just Another Day In Paradise,Country,2000-09-30,2000-12-02,81,81.0,76.0,67.0,53.0,46.0,43.0,38.0,36.0,35.0,43.0,41.0,46.0,51.0,62.0,58.0,63.0,70.0,74.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cube,You Can Do It,Rap,1999-12-04,2000-01-15,86,66.0,50.0,42.0,42.0,40.0,35.0,46.0,45.0,54.0,73.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wills, Mark",Back At One,Country,2000-01-15,2000-02-26,89,55.0,51.0,43.0,37.0,37.0,36.0,39.0,42.0,46.0,45.0,52.0,64.0,74.0,84.0,90.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Pearl,Dance Tonight,R&B,2000-05-20,2000-07-29,80,75.0,63.0,59.0,55.0,49.0,42.0,42.0,40.0,40.0,36.0,43.0,46.0,54.0,72.0,84.0,84.0,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",It Must Be Love,Country,2000-06-24,2000-09-02,76,74.0,68.0,63.0,57.0,49.0,44.0,39.0,39.0,38.0,37.0,37.0,40.0,47.0,62.0,64.0,75.0,80.0,84.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griggs, Andy",She's More,Country,2000-03-11,2000-06-10,81,76.0,69.0,67.0,62.0,55.0,52.0,51.0,51.0,48.0,47.0,43.0,42.0,37.0,41.0,50.0,69.0,73.0,77.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Doubt,Simple Kind Of Life,Rock,2000-07-01,2000-07-22,50,40.0,39.0,38.0,38.0,48.0,52.0,55.0,80.0,85.0,88.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean, Wyclef",911,Rap,2000-10-07,2000-11-25,77,74.0,64.0,61.0,53.0,48.0,43.0,38.0,42.0,38.0,44.0,49.0,53.0,61.0,66.0,68.0,80.0,85.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rascal Flatts,Prayin' For Daylight,Country,2000-05-06,2000-08-12,87,78.0,72.0,68.0,66.0,64.0,58.0,58.0,56.0,54.0,49.0,46.0,46.0,41.0,38.0,38.0,47.0,65.0,72.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,Graduation (Friends Forever),Rock,2000-04-15,2000-06-10,81,64.0,54.0,54.0,46.0,40.0,40.0,40.0,38.0,42.0,57.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilman, Billy",One Voice,Country,2000-06-17,2000-09-02,86,86.0,82.0,72.0,65.0,56.0,56.0,55.0,44.0,44.0,43.0,38.0,40.0,44.0,61.0,77.0,85.0,95.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,Smile,Country,1999-12-18,2000-02-12,89,80.0,80.0,80.0,65.0,47.0,44.0,42.0,39.0,39.0,43.0,41.0,43.0,45.0,50.0,58.0,67.0,78.0,85.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
